,10Y_Bond,Gold,Silver,Copper,USD_Index,Aluminum
2026-04-15 02:00:00,4.25600004196167,4834.89990234375,79.2750015258789,6.084499835968018,98.19200134277344,3520.5
2026-04-15 03:00:00,4.25600004196167,4834.10009765625,79.31500244140625,6.1020002365112305,98.16799926757812,3516.0
2026-04-15 04:00:00,4.25600004196167,4841.60009765625,79.41500091552734,6.0980000495910645,98.12999725341797,3522.75
2026-04-15 05:00:00,4.25600004196167,4821.2001953125,78.58499908447266,6.077000141143799,98.20099639892578,3521.5
2026-04-15 06:00:00,4.25600004196167,4822.7998046875,78.87999725341797,6.081500053405762,98.24500274658203,3514.25
2026-04-15 07:00:00,4.272000312805176,4835.7001953125,79.19000244140625,6.078999996185303,98.21600341796875,3509.25
2026-04-15 08:00:00,4.27400016784668,4833.89990234375,78.69999694824219,6.083499908447266,98.1969985961914,3531.5
2026-04-15 09:00:00,4.2779998779296875,4851.89990234375,80.1500015258789,6.084000110626221,98.1719970703125,3547.25
2026-04-15 10:00:00,4.289000034332275,4838.39990234375,80.13999938964844,6.083499908447266,98.09200286865234,3585.75
2026-04-15 11:00:00,4.2820000648498535,4823.5,79.45999908447266,6.078499794006348,98.08000183105469,3569.5
2026-04-15 12:00:00,4.284999847412109,4825.89990234375,79.48500061035156,6.084000110626221,98.04900360107422,3576.5
2026-04-15 13:00:00,4.2820000648498535,4814.7998046875,79.2249984741211,6.088500022888184,98.10299682617188,3577.0
2026-04-15 14:00:00,4.2820000648498535,4822.2001953125,79.48500061035156,6.0954999923706055,98.05500030517578,3576.25
2026-04-15 15:00:00,4.2820000648498535,4818.2998046875,79.52999877929688,6.0904998779296875,98.05999755859375,3576.25
2026-04-15 16:00:00,4.2820000648498535,4813.89990234375,79.11000061035156,6.078499794006348,98.08200073242188,3581.75
2026-04-15 17:00:00,4.2820000648498535,4813.89990234375,79.11000061035156,6.078499794006348,98.08399963378906,3581.75
2026-04-15 18:00:00,4.2820000648498535,4829.2001953125,79.50499725341797,6.084499835968018,98.0510025024414,3581.75
2026-04-15 19:00:00,4.2820000648498535,4845.39990234375,79.6500015258789,6.0960001945495605,98.00900268554688,3581.75
2026-04-15 20:00:00,4.2820000648498535,4854.7001953125,80.30000305175781,6.105999946594238,97.99299621582031,3573.25
2026-04-15 21:00:00,4.2820000648498535,4839.89990234375,80.23999786376953,6.101500034332275,98.02400207519531,3577.25
2026-04-15 22:00:00,4.2820000648498535,4842.10009765625,80.4749984741211,6.112500190734863,97.9010009765625,3591.5
2026-04-15 23:00:00,4.2820000648498535,4847.7001953125,80.61000061035156,6.114500045776367,97.93000030517578,3595.0
2026-04-16 00:00:00,4.2820000648498535,4855.7001953125,80.82499694824219,6.119500160217285,97.96499633789062,3587.25
2026-04-16 01:00:00,4.2820000648498535,4844.10009765625,80.55500030517578,6.123000144958496,98.01399993896484,3619.0
2026-04-16 02:00:00,4.2820000648498535,4848.2998046875,80.4749984741211,6.124499797821045,98.00499725341797,3620.75
2026-04-16 03:00:00,4.2820000648498535,4843.0,80.23500061035156,6.104000091552734,98.0989990234375,3615.75
2026-04-16 04:00:00,4.2820000648498535,4834.7001953125,79.87000274658203,6.093999862670898,98.15599822998047,3612.5
2026-04-16 05:00:00,4.2820000648498535,4834.2001953125,79.68499755859375,6.079500198364258,98.20800018310547,3608.75
2026-04-16 06:00:00,4.2820000648498535,4838.7001953125,79.94000244140625,6.078000068664551,98.20899963378906,3601.5
2026-04-16 07:00:00,4.269999980926514,4843.89990234375,79.83499908447266,6.077499866485596,98.16300201416016,3590.0
2026-04-16 08:00:00,4.283999919891357,4837.7998046875,79.37999725341797,6.096499919891357,98.19000244140625,3583.75
